agreement,chapter,article,title,content
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.1조,정의,"제4.1조  
정의 
 
이 장의 목적상, 
 
관세법이란 상품의 수입, 수출, 이동 또는 보관, 관세당국에 구체적으로 위임된 행정 및 
집행에 관한 법적이고 규제적인 규정, 그리고 법적으로 부여된 권한에 따라 관세당국이 
제정한 모든 규제를 말한다. 
 
통관 절차란 각 관세당국이 관세법의 대상이 되는 상품 및 운송 수단에 적용하는 취급을 
말한다. 그리고 
 
운송수단이란 인, 상품 또는 물품을 운송하여 당사국의 영역에 들어오거나 나가는 다양한 
종류의 선박, 차량, 항공기 및 짐 싣는 동물을 말한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.2조,적용범위 및 목적,"제4.2조  
적용범위 및 목적 
 
1.   
이 장은, 양 당사국의 각각의 국제적 의무와 국내 관세법에 따라, 양 당사국 간
에 교역되는 상품 및 양 당사국 간 운송수단의 이동에 적용되는 통관 절차에 적용된다. 
 
2.   
이 장의 목적은 다음과 같다. 
 
가.  
양 당사국의 통관 절차의 간소화 및 조화 
 
나.  
양 당사국 간 무역의 원활화, 그리고 
 
다.  
이 장의 적용범위 내에서 관세당국 간 협력 증진 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.3조,원활화,"제4.3조  
원활화 
 
1.  
각 당사국은 자국의 통관 절차와 관행이 무역을 원활화할 수 있도록 예측가능하
고, 일관성 있으며 투명할 것을 보장한다. 
 
2.  
가능한 경우 그리고 각국의 관세법에 의하여 허용되는 범위 내에서, 각 당사국의 
통관 절차는, 개정된 것으로서 개정 교토협약으로 알려진 「세관절차의 간소화 및 조화에 
관한 국제협약」의 문서들을 포함하여, 그 당사국이 체약당사자인 세계관세기구의 무역 
관련 합의문서와 합치한다. 
 
3.  
관세당국은 자국의 통관 절차를 운용함에 있어 상품의 반출을 포함하여 통관을 
원활하게 한다. 
 
4.  
각 당사국은 자국의 무역업자들이 상품의 반출을 포함하여 통관을 위하여 요구
43 
 
되는 모든 규제정보를 제출할 수 있는 전자적 또는 그 밖의 방식의 단일창구를 제공하기 
위하여 노력한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.4조,일관성,"제4.4조  
일관성 
 
양 당사국은 가능한 범위 내에서 자국의 관세에 관한 법과 규정이 전국적으로 일관되게 
이행되는 것을 보장하고, 적절한 조치를 수립 및 시행함으로써 자국의 지역 세관 간에 
법과 규정의 이행과정에서 발생할 수 있는 비일관성 문제를 억지하기 위하여 노력한다.  
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.5조,투명성,"제4.5조  
투명성 
 
1.  
각 당사국은 자국의 관세 및 그 밖의 무역 관련 법, 규정, 일반적인 행정절차와 
수수료 및 비용을 포함한 그 밖의 요건이 공식적인 웹사이트를 포함하여 공식적으로 지
정된 매체를 통하여 모든 이해당사자에게 용이하게 이용 가능하도록 보장한다. 각 관세
당국은 적용하거나 집행하는 모든 관세법 및 모든 행정절차를 공식적인 웹사이트를 포함
하여 공식적으로 지정된 매체를 통하여 공표한다. 
 
2.  
각 관세당국은 이 협정의 이행에서 발생하는 관세 사안에 관한 어느 한쪽 당사
국의 이해관계인의 질의를 다루는 하나 이상의 질의처를 지정하거나 유지하고, 그러한 
질의 절차에 대한 정보를 공식적인 웹사이트 상에서 이용 가능하도록 한다. 
 
3.  
가능한 한도 내에서, 각 관세당국은 자신이 채택하고자 하는 관세 사안을 규율하
는 일반적으로 적용되는 새로운 또는 개정된 모든 규정을 미리 공표하고, 이를 채택하기
에 앞서 이해관계인에게 의견을 제시할 수 있는 기회를 제공한다.  
 
4.  
각 관세당국은 다른 쪽 관세당국에 이 장의 운영에 실질적으로 영향을 미칠 가
능성이 있는 상품의 이동 및 운송수단을 규율하는 관세 법 또는 절차에 관한 중요한 수
정에 대하여 시의적절하게 통지한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.6조,관세평가,"제4.6조  
관세평가 
 
양 당사국은 1994년도 GATT 제7조 및 관세평가협정의 규정에 따라 양 당사국 간 거
래되는 상품의 과세가격을 결정한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.7조,품목분류,"제4.7조  
품목분류 
 
양 당사국은 「통일상품명 및 부호체계에 관한 국제협약」을 양 당사국 간 교역되는 상품
에 적용한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.8조,관세협력,"제4.8조  
관세협력 
44 
 
 
1.   
양 당사국은 상품의 적법한 이동을 원활히 하기 위한 자국의 약속을 확인하고, 
통관 기술 및 절차를 개선하기 위한 조치와 전산화 시스템에 관한 전문지식을 교환한다. 
 
2.   
자국 국내법에서 허용된 한도 내에서, 관세당국은 다음에 관하여 상호 지원한다. 
 
가.  
이 장의 이행 및 운영, 그리고 
 
나.  
양 당사국이 상호 결정하는 그 밖의 사안 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.9조,재심 및 불복청구,"제4.9조  
재심 및 불복청구 
 
1.  
각 당사국은 수입자, 수출자 또는 자국의 결정에 영향을 받는 그 밖의 모든 인에
게 자국의 법과 규정에 따라 다음에 대하여 접근하도록 한다. 
 
가.  
재심 중에 있는 결정에 대하여 책임이 있는 공무원 또는 부서로부터 독
립된, 자국의 관세당국의 결정에 관한 한 단계의 행정적 재심, 그리고 
 
나.  
자국의 법과 규정에 따른 그 행정적 결정에 대한 사법적 재심 
 
2.   
재심 당국의 요청이 있는 경우, 생산자 또는 수출자는 행정적 재심을 수행하는 
당사국에게 정보를 직접 제공하고, 그러한 당사국에 그 당사국에서 적용 가능한 규칙에 
따라 그 정보를 비밀로 취급할 것을 요청할 수 있다. 이 정보는 양 당사국에 의하여 결
정된 규칙에 따라 제공된다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.10조,사전심사,"제4.10조  
사전심사 
 
1.   
각 당사국의 관세당국은 수입자, 수출자 또는 그 당사국1의 영역 내에 있는 그 
밖의 모든 신청자의 서면 요청에 따라, 자국 영역으로 상품이 수입되기 전에, 사전심사 
요청을 처리하는 데 필요한 정보의 상세설명을 포함하여 신청자에 의하여 제공된 사실 
및 상황을 기반으로 서면 사전심사서를 발급한다. 사전심사서는 다음 사안에 대하여 발
급될 수 있다. 
 
가.  
품목분류  
 
나.  
이 협정에 따른 상품의 원산지, 그리고  
 
다.  
양 당사국이 합의할 수 있는 그 밖의 사안 
 
2.   
관세당국은, 신청자가 국내 법과 규정 및 규칙에 따라 요구되는 모든 정보를 제
출한 경우, 신청 후 90일 이내에 사전심사서를 발급한다. 사전심사는 그 결정의 근거가 
된 사실 또는 상황에 변동이 없는 경우, 그 발급일부터 효력이 발생한다. 
 
3.   
효력이 발생한 사전심사는 다음과 같은 경우에 취소, 수정 또는 철회될 수 있다. 
                                                        
1 중국의 경우, 사전심사의 신청자는 중국 세관에 등록되어야 한다. 
45 
 
 
 
가.  
사전심사 결정이 기반하는 정보가 거짓이거나 부정확하다는 점이 사실 
또는 상황에 의하여 입증되는 경우. 이 경우, 관세당국은 신청자에 대하
여 자국의 국내 법에 따른 민사, 형사 및 행정적 조치, 벌칙 또는 그 밖
의 제재를 포함하는 적절한 조치를 적용할 수 있다.  
 
나.  
관세당국에 의한 명백한 오류로 인하여 원래의 사전심사와 동일한 사실
과 상황 하에서 관세당국이 다른 기준을 적용하는 것이 바람직하다고 보
는 경우. 이 경우, 개정 또는 철회는 그 변경이 있는 날부터 적용된다. 
또는 
 
다.  
그 행정적 결정이 그 기반이 되는 법, 규정 및 규칙의 변화로 인하여 영
향을 받는 경우. 이 경우, 그 사전심사는 그러한 개정이 공표된 날부터 
자동적으로 효력이 중단된다. 
 
다호에 언급된 사안의 경우, 관세당국은 사전에 공표하는 것이 불가능한 경우를 제외하
고, 이해당사자가 고려할 수 있도록 그러한 개정이 효력을 발생하기 전에 충분한 시간을 
두고, 검토된 정보를 이해당사자에게 이용 가능하게 한다. 
 
4.   
각 당사국은 자국의 법, 규정 및 규칙의 기밀유지 요건에 따라 자국의 사전심사
를 공표한다. 
 
5.   
당사국은 사전심사의 근거가 되는 사실 또는 상황이 행정적 또는 사법적 재심의 
대상이 되는 경우 사전심사서의 발급을 거부할 수 있다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.11조,벌칙,"제4.11조  
벌칙 
 
각 당사국은 이 협정에 따른 품목분류, 관세평가, 원산지 국가 및 특혜관세 대우 신청을 
규율하는 것을 포함한 자국의 관세법 및 규정의 위반에 대하여 행정적 벌칙, 그리고 적
절한 경우 형사적 제재를 부과할 수 있도록 하는 조치를 채택하거나 유지한다.  
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.12조,자동화 시스템의 사용,"제4.12조  
자동화 시스템의 사용 
 
관세당국은 세계관세기구 내 이 분야에서의 진전상황을 고려하여, 특히 종이 없는 무역
의 맥락에서, 비용 효과적이고 효율적인 경우 통관 운영을 지원하기 위하여 정보기술을 
적용한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.13조,위험관리,"제4.13조  
위험관리 
 
1.   
관세당국은 통관 절차를 운영함에 있어 통제 조치를 고위험 상품에 집중하고, 저
위험 상품의 통관을 원활히 한다. 
 
2.   
양 당사국은 국제무역 상의 자의적이거나 부당한 차별 또는 위장된 제한을 피하
는 방식으로 위험관리를 설계하고 적용한다. 
46 
 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.14조,상품의 반출,"제4.14조  
상품의 반출 
 
1.   
각 당사국은 양 당사국 간 무역을 원활화하기 위하여 상품의 효율적인 반출을 
위한 간소화된 통관절차를 채택하고 적용한다. 보다 명확히 하기 위하여, 이 항은 당사국
으로 하여금 반출을 위한 자국의 요건이 충족되지 아니한 상품의 반출을 요구하지 아니
한다. 
 
2.   
제1항에 따라, 각 당사국은 다음의 절차를 채택하거나 유지한다. 
 
가.  
특정 조건이나 요건의 충족을 전제로 가능한 한 도착시 상품을 반출하는 
것이 가능하도록, 상품의 물리적 도착 전에 정보를 사전에 전자적으로 
제출하고 처리하도록 규정하는 절차 
 
나.  
수입자가 충분하고 효과적인 보증을 제공하고 추가적인 조사, 물리적 검
사 또는 그 밖의 어떠한 제출이 요구되지 아니하는 경우 그 당사국의 모
든 수입요건이 충족되기 전에 수입자에게 상품의 반출을 허용할 수 있도
록 하는 절차  
 
다.  
자국 관세법 및 그 밖의 무역 관련 법과 절차의 준수를 보장하는데 요구
되는 기간을 넘지 아니하는 기간 내에, 그리고 가능한 한도 내에서 상품
의 도착 후 48시간 내에, 상품을 반출하게 하는 절차, 그리고 
 
라.  
금지, 통제 또는 규제되는 상품을 제외하고 상품을 보세창고 또는 그 밖
의 시설에 일시적으로 이동시키지 아니하고 세관 감시구역에서 자유로운
유통을 위하여 반출되도록 허용하는 절차 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.15조,특송화물,"제4.15조  
특송화물 
 
1.   
각 당사국은 적절한 통관 통제 및 선별을 유지하면서 특송화물을 위한 별도의 
신속한 통관 절차를 채택하거나 유지한다. 
 
2.   
이러한 절차는 
 
가.  
가능하다면 전자적 수단을 통하여, 특송화물에 포함된 모든 상품을 적용
대상으로 하는 단일 적하목록의 제출을 허용한다. 
 
나.  
가능한 한도에서, 특정 상품이 최소한의 서류로 통관되도록 규정한다. 그
리고 
 
다.  
자국 국내 법, 규정 및 규칙에서 달리 규제되지 아니하는 한, 특송화물의
중량 또는 과세가격에 관계없이 적용된다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.16조,통관사후심사,"제4.16조  
통관사후심사 
47 
 
 
각 당사국은 무역업자에게 효율적인 통관사후심사의 적용으로부터 혜택을 받을 수 있는 
기회를 제공한다. 통관사후심사의 적용은 부당하거나 불합리한 요건 또는 부담을 무역업
자에게 부과하지 아니한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.17조,비밀유지,"제4.17조  
비밀유지 
 
1.   
한쪽 당사국은 이 장에 따라 다른 쪽 당사국이 제공한 정보의 비밀을 유지하고 
정보를 제공하는 인의 경쟁적 지위를 저해할 수 있는 공개로부터 그 정보를 보호한다. 
비밀유지의 모든 위반은 각 당사국의 법률에 따라 취급된다. 
 
2.   
제1항에 언급된 정보는 그러한 정보를 제공하는 인 또는 정부의 명시적 허가 없
이 공개되지 아니한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.18조,협의,"제4.18조  
협의 
 
1.   
각 당사국의 관세당국은 이 장의 운영 또는 이행으로부터 발생하는 모든 사안에 
대하여 요청당사국에 의하여 합리적인 근거 또는 사실이 제공되는 경우 협의를 요청할 
수 있다. 그러한 협의는 양 당사국의 관세당국이 달리 상호 결정하지 아니하는 한, 요청
을 받은 당사국이 요청이 접수된 날부터 10근무일 내에 그러한 요청의 접수를 확인한 
경우 관련 접촉선을 통하여 수행되며, 그 요청이 있은 날부터 60일 이내에 개최된다. 
 
2.   
그러한 협의가 그러한 사안을 해결하지 못하는 경우, 요청당사국은 그 사안을 제
4.19조에서 언급된 관세위원회에 검토를 위하여 회부할 수 있다. 
 
3.   
각 관세당국은 이 장의 목적상 하나 이상의 접촉선을 지정하고 그러한 접촉선의 
세부사항을 다른 쪽 당사국에 제공한다. 양 당사국의 관세당국은 자국 접촉선의 세부사
항에 대한 모든 변경사항을 신속히 서로에게 통보한다. 
 
 "
KOREA_CHINA_FTA,통관절차 및 무역원활화,제4.19조,관세위원회,"제4.19조  
관세위원회 
 
1.   
이 장 및 제3장(원산지 규정 및 원산지 이행 절차)의 효율적인 이행 및 운영을 
위하여, 통관절차및무역원활화소위원회 및 원산지규정소위원회로 구성되는 관세위원회
(이하 “위원회”라 한다)가 공동위원회 아래 설립된다. 
 
2.   
통관절차및무역원활화소위원회의 기능은 다음과 같다. 
 
가.  
이 장의 올바른 기능을 보장하고 그 적용으로부터 발생하는 모든 사안의
해결 
 
나.  
이 장의 해석과 이행 및 적절한 경우 이 장의 개정을 검토 
 
다.  
양 당사국 간의 무역을 원활히 하기 위하여 개선되어야 할, 이 장과 관
련된 분야의 확인, 그리고 
48 
 
 
라.  
위원회에 보고 
 
3.   
통관절차및무역원활화소위원회는 양 당사국의 관세당국의 대표로 구성된다. 소위
원회는 양 당사국이 합의하는 장소 및 시간에 회합한다. 
"
